"REGIAO","Tem uma política ou estratégia nacional de distribuição de camisinhas?","QUANTIDADE","Porcentagem de países"
"Africa","No","2","4.444444444444445"
"Africa","Yes","38","84.44444444444444"
"Europe","No","5","10.0"
"Europe","Yes","18","36.0"
"Western Pacific","No","3","20.0"
"Western Pacific","Yes","10","66.66666666666667"
"Americas","No","3","10.344827586206897"
"Americas","Yes","22","75.86206896551724"
"Eastern Mediterranean","No","5","25.0"
"Eastern Mediterranean","Yes","7","35.0"
"South-East Asia","Yes","5","45.45454545454545"
