"COUNTRY","Número de camisinhas masculinas por habitante","Número de camisinhas femininas por habitante","Número de camisinhas por habitante","National condom strategy/plan","Prosecution/punishment of individuals for carrying condoms"
"Algeria","0.07944237623762376","6.93069306930693E-4","0.08013544554455446","Yes","No"
"Argentina","0.4766722712301633",,,"Yes","No"
"Armenia","0.06179150270126059",,,"Yes","No"
"Azerbaijan","0.7199128021708221","0.0","0.7199128021708221","Yes","No"
"Bahamas",,,,"Yes","No"
"Bangladesh","0.13613514432262339",,,"Yes","No"
"Bolivia","1.31456128138526",,,"Yes","No"
"Botswana",,,,"Yes","No"
"Brazil","1.6164436447534487","0.007750404050361157","1.6241940488038098","Yes","No"
"Burkina Faso","1.1979095060635707","0.03710486459576156","1.2350143706593324","Yes","No"
"Burundi","1.1768060620519636","0.0233620042578349","1.2001680663097987","Yes","No"
"Cambodia","11.788185685234344",,,"Yes","No"
"Cameroon","2.0717791698536274","0.23482670951409154","2.306605879367719","Yes","No"
"Chile","1.0398609783728647","0.055785698945936296","1.095646677318801","Yes","No"
"China","0.0390467744971291",,,"Yes","No"
"Comoros","1.622674185463659","0.0","1.622674185463659","Yes","No"
"Cuba",,,,"Yes","No"
"Côte d'Ivoire",,,,"Yes","No"
"Dominican Republic","0.5814554674445623","0.03766732555536973","0.619122792999932","Yes","No"
"Egypt","0.3939708333819055",,,"Yes","No"
"Gabon","1.1799138983050848","0.02032542372881356","1.2002393220338983","Yes","No"
"Ghana","47.44312020818033","0.0022845389763663498","47.445404747156694","Yes","No"
"Guatemala","1.2197410903937735","0.0","1.2197410903937735","Yes","No"
"Honduras","3.247354227018268","0.0","3.247354227018268","Yes","No"
"India","0.12981540179589918",,,"Yes","No"
"Iran","0.06400252525252526",,,"Yes","No"
"Ireland","0.03831608654750705","1.1288805268109124E-5","0.03832737535277517","Yes","No"
"Jamaica","0.9214422024194888",,,"Yes","No"
"Jordan","2.873711097263402E-4","0.0","2.873711097263402E-4",,
"Kazakhstan","0.662792437900924","0.0","0.662792437900924","Yes","No"
"Kenya","2.43393485224724","0.039435631895236925","2.473370484142477","Yes","No"
"Kyrgyzstan","0.38513733333333333","0.006477166666666667","0.3916145","Yes","No"
"Lao People's Democratic Republic",,,,"Yes","No"
"Liberia","1.0086164779036197",,,"Yes","No"
"Libya","0.0","0.0","0.0","No","No"
"Luxembourg","0.10412165574256962","0.006941443716171308","0.11106309945874093","Yes","No"
"Madagascar","0.9429879511176671","0.0","0.9429879511176671","Yes","No"
"Mauritania","0.47969743069807874","0.0","0.47969743069807874","Yes","No"
"Mauritius","0.8476508236547817","0.028151581658219738","0.8758024053130015","Yes","No"
"Mexico","0.2422028413056178","6.978538820047424E-4","0.24290069518762256","Yes","No"
"Morocco",,,,"Yes","Yes"
"Mozambique","3.729208609831532","0.08386756532766049","3.813076175159192","No","No"
"Myanmar",,,,"Yes","No"
"Nepal",,,,"Yes","No"
"Nicaragua",,,,"Yes","No"
"Nigeria","0.19360041332329844","0.0028404303367500316","0.1964408436600485","Yes","No"
"Panama","0.4582426540559374","0.0","0.4582426540559374","Yes","No"
"Paraguay","0.20245834163807672","0.0","0.20245834163807672","Yes","No"
"Peru","1.7458198272238803","0.004317589284135029","1.7501374165080152",,
"Philippines",,,,"No","No"
"Republic of Moldova",,,,"Yes","No"
"Rwanda","1.3018726464062713","0.0016870048418814758","1.3035596512481527","Yes","No"
"Senegal","6.059925019926532","0.011206841017744232","6.071131860944277","Yes","No"
"Sierra Leone",,,,"Yes","No"
"South Africa","1.6649122676133479","0.4734401867645373","2.1383524543778853","Yes","No"
"Sri Lanka",,,,"Yes","No"
"Tajikistan","0.7265541231126597","0.0","0.7265541231126597","Yes","No"
"Thailand","0.5091775335128533",,,,
"Togo","1.2424905836856976","0.13805721634073143","1.380547800026429","Yes","No"
"Uganda",,,,"Yes","No"
"United Republic of Tanzania",,,,"Yes","No"
"Uruguay","7.615990662386928","0.04522906332068865","7.661219725707616","Yes","No"
"Venezuela",,,,"Yes","No"
"Viet Nam",,,,"Yes","No"
"Zimbabwe","8.053666279013841","0.27989469244496296","8.333560971458803","Yes","No"
"Montenegro",,,,"No","No"
"Afghanistan",,,,"Yes","No"
"Albania","0.1214126276062655",,,"Yes","No"
"Central African Republic","2.035557443193884","0.004565725207050329","2.0401231684009344","Yes","No"
"Ecuador","0.7742876610505451","0.021224665510406342","0.7955123265609514","Yes","No"
"Ethiopia",,,,"Yes","No"
"Guinea-Bissau","4.459719451658736","0.009035088030102787","4.468754539688839","Yes","No"
"Lesotho","14.520717948717948","0.21141751330430575","14.732135462022255","Yes","No"
"Malawi",,,,"Yes","No"
"Malaysia","28.6010093880144","0.0","28.6010093880144","Yes","No"
"Mongolia","0.3304755819639761","0.0","0.3304755819639761","No","No"
"Uzbekistan",,,,"Yes","No"
